Date, ,Name,Type,Details


Jan 1,Tuesday,New Year's Day,Federal Holiday, 
Jan 4,Friday,World Braille Day,Worldwide observance, 
Jan 6,Sunday,Epiphany,Christian, 
Jan 7,Monday,Orthodox Christmas Day,Orthodox, 
Jan 7,Monday,International Programmers' Day,Worldwide observance, 
Jan 13,Sunday,Stephen Foster Memorial Day,Observance, 
Jan 14,Monday,Orthodox New Year,Orthodox, 
Jan 18,Friday,Lee-Jackson Day,State holiday,Virginia
Jan 19,Saturday,Robert E. Lee's Birthday,State holiday,Florida
Jan 19,Saturday,Confederate Heroes' Day,State holiday,Texas
Jan 20,Sunday,World Religion Day,Worldwide observance, 
Jan 21,Monday,Tu Bishvat/Tu B'Shevat,Jewish holiday, 
Jan 21,Monday,Martin Luther King Jr. Day,Federal Holiday, 
Jan 21,Monday,Robert E. Lee's Birthday,State holiday,"Alabama, Mississippi"
Jan 21,Monday,Idaho Human Rights Day,State holiday,Idaho
Jan 21,Monday,Civil Rights Day,State holiday,"Arizona, New Hampshire"
Jan 26,Saturday,International Customs Day,Worldwide observance, 
Jan 27,Sunday,International Day of Commemoration in Memory of the Victims of the Holocaust,United Nations observance, 
Jan 27,Sunday,World Leprosy Day,Worldwide observance, 
Jan 29,Tuesday,Kansas Day,Observance, 

Feb 1,Friday,National Freedom Day,Observance, 
Feb 1,Friday,National Wear Red Day,Observance, 
Feb 2,Saturday,World Wetlands Day,Worldwide observance, 
Feb 2,Saturday,Groundhog Day,Observance, 
Feb 3,Sunday,Super Bowl,Sporting event, 
Feb 4,Monday,World Cancer Day,United Nations observance, 
Feb 4,Monday,Rosa Parks Day,Local observance,"California, Missouri"
Feb 5,Tuesday,Chinese New Year,Observance, 
Feb 6,Wednesday,International Day of Zero Tolerance for Female Genital Mutilation,United Nations observance, 
Feb 11,Monday,International Day of Women and Girls in Science,United Nations observance, 
Feb 11,Monday,World Day of the Sick,Worldwide observance, 
Feb 12,Tuesday,Lincoln's Birthday,State holiday,"CT, IL, MO, NY"
Feb 12,Tuesday,Lincoln's Birthday,Local observance,Florida
Feb 13,Wednesday,World Radio Day,United Nations observance, 
Feb 14,Thursday,Valentine's Day,Observance, 
Feb 14,Thursday,Statehood Day,Local observance,Arizona
Feb 15,Friday,Susan B. Anthony's Birthday,Local observance,"CA, FL, NY, WI"
Feb 16,Saturday,Elizabeth Peratrovich Day,Local observance,Alaska
Feb 18,Monday,Presidents' Day,Federal Holiday,"All except DE, GA, IA, IN, KS, KY, LA, NC, NM, RI, WI"
Feb 18,Monday,Daisy Gatson Bates Day,State holiday,Arkansas
Feb 20,Wednesday,World Day of Social Justice,United Nations observance, 
Feb 21,Thursday,International Mother Language Day,United Nations observance, 
Feb 28,Thursday,Linus Pauling Day,Local observance,Oregon

Mar 1,Friday,Zero Discrimination Day,United Nations observance, 
Mar 1,Friday,Self-Injury Awareness Day,Worldwide observance, 
Mar 1,Friday,St. David's Day,"Observance, Christian", 
Mar 1,Friday,Read Across America Day,Observance, 
Mar 1,Friday,Employee Appreciation Day,Observance, 
Mar 2,Saturday,Texas Independence Day,State holiday,Texas
Mar 3,Sunday,World Wildlife Day,United Nations observance, 
Mar 4,Monday,Maha Shivaratri,Hindu Holiday, 
Mar 4,Monday,Casimir Pulaski Day,Local observance,Illinois*
Mar 5,Tuesday,Shrove Tuesday/Mardi Gras,State holiday,"Alabama**, Louisiana"
Mar 5,Tuesday,Shrove Tuesday/Mardi Gras,State holiday,Florida*
Mar 5,Tuesday,Shrove Tuesday/Mardi Gras,"Observance, Christian", 
Mar 5,Tuesday,Town Meeting Day,State holiday,Vermont
Mar 6,Wednesday,Ash Wednesday,Christian, 
Mar 8,Friday,International Women's Day,United Nations observance, 
Mar 10,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time, 
Mar 14,Thursday,World Kidney Day,Worldwide observance, 
Mar 17,Sunday,St. Patrick's Day,"Observance, Christian", 
Mar 17,Sunday,Evacuation Day,State holiday,Massachusetts**
Mar 18,Monday,Evacuation Day observed,State holiday,Massachusetts**
Mar 20,Wednesday,March Equinox,Season, 
Mar 20,Wednesday,International Day of Happiness,United Nations observance, 
Mar 21,Thursday,Holi,Hindu Holiday, 
Mar 21,Thursday,Purim,Jewish holiday, 
Mar 21,Thursday,International Day for the Elimination of Racial Discrimination,United Nations observance, 
Mar 21,Thursday,World Poetry Day,United Nations observance, 
Mar 21,Thursday,International Day of Nowruz,United Nations observance, 
Mar 21,Thursday,World Down Syndrome Day,United Nations observance, 
Mar 21,Thursday,International Day of Forests,United Nations observance, 
Mar 22,Friday,World Water Day,United Nations observance, 
Mar 23,Saturday,World Meteorological Day,United Nations observance, 
Mar 24,Sunday,World Tuberculosis Day,United Nations observance, 
Mar 24,Sunday,International Day for the Right to the Truth concerning Gross Human Rights Violations and for the Dignity of Victims,United Nations observance, 
Mar 25,Monday,International Day of Remembrance of Slavery Victims and the Transatlantic Slave Trade,United Nations observance, 
Mar 25,Monday,International Day of Solidarity with Detained and Missing Staff Members,United Nations observance, 
Mar 25,Monday,Maryland Day,Local observance,Maryland
Mar 25,Monday,Seward's Day,State holiday,Alaska
Mar 26,Tuesday,Prince Jonah Kuhio Kalanianaole Day,State holiday,Hawaii
Mar 29,Friday,National Vietnam War Veterans Day,Observance, 
Mar 30,Saturday,Earth Hour,Worldwide observance, 
Mar 31,Sunday,César Chávez Day,State holiday,"AZ**, CA**, CO***, MI**, NM**, NV**, TX***, UT**, WA**"

Apr 1,Monday,April Fool's Day,Worldwide observance, 
Apr 1,Monday,César Chávez Day observed,State holiday,California**
Apr 2,Tuesday,World Autism Awareness Day,United Nations observance, 
Apr 2,Tuesday,Pascua Florida Day,Local observance,Florida
Apr 3,Wednesday,Isra and Mi'raj,Muslim, 
Apr 4,Thursday,United Nations' Mine Awareness Day,United Nations observance, 
Apr 6,Saturday,International Day of Sport for Development and Peace,United Nations observance, 
Apr 6,Saturday,National Tartan Day,Observance, 
Apr 7,Sunday,United Nations' World Health Day,United Nations observance, 
Apr 7,Sunday,Day of Remembrance of the Victims of the Rwanda Genocide,United Nations observance, 
Apr 9,Tuesday,National Library Workers' Day,Observance, 
Apr 12,Friday,International Day of Human Space Flight,United Nations observance, 
Apr 13,Saturday,Thomas Jefferson's Birthday,Observance, 
Apr 14,Sunday,Palm Sunday,Christian, 
Apr 15,Monday,Tax Day,Observance, 
Apr 15,Monday,Father Damien Day,Local observance,Hawaii
Apr 15,Monday,Patriot's Day,State holiday,"Maine, Massachusetts"
Apr 15,Monday,Boston Marathon,Sporting event, 
Apr 16,Tuesday,Emancipation Day,State holiday,District of Columbia
Apr 18,Thursday,Maundy Thursday,Christian, 
Apr 18,Thursday,International Day for Monuments and Sites,Worldwide observance, 
Apr 19,Friday,Good Friday,State holiday,"CT, DE, HI, IN, KY, LA, NC, ND, NJ, TN, TX***"
Apr 20,Saturday,Holy Saturday,Christian, 
Apr 20,Saturday,Passover (first day),Jewish holiday, 
Apr 20,Saturday,Chinese Language Day,United Nations observance, 
Apr 21,Sunday,Easter Sunday,"Observance, Christian", 
Apr 21,Sunday,San Jacinto Day,State holiday,Texas
Apr 22,Monday,Earth Day,United Nations observance, 
Apr 22,Monday,Easter Monday,"Observance, Christian", 
Apr 22,Monday,Oklahoma Day,Local observance,Oklahoma
Apr 22,Monday,Confederate Memorial Day,State holiday,Alabama
Apr 22,Monday,State Holiday,State holiday,Georgia
Apr 23,Tuesday,World Book and Copyright Day,United Nations observance, 
Apr 23,Tuesday,English Language Day,United Nations observance, 
Apr 24,Wednesday,Administrative Professionals Day,Observance, 
Apr 25,Thursday,World Malaria Day,United Nations observance, 
Apr 25,Thursday,Take our Daughters and Sons to Work Day,Observance, 
Apr 26,Friday,Orthodox Good Friday,Orthodox, 
Apr 26,Friday,World Intellectual Property Day,United Nations observance, 
Apr 26,Friday,International Chernobyl Disaster Remembrance Day,United Nations observance, 
Apr 26,Friday,Arbor Day,State holiday,Nebraska
Apr 26,Friday,Confederate Heroes' Day,Local observance,Florida
Apr 27,Saturday,Last Day of Passover,Jewish holiday, 
Apr 27,Saturday,Orthodox Holy Saturday,Orthodox, 
Apr 28,Sunday,Orthodox Easter,Orthodox, 
Apr 28,Sunday,World Day for Safety and Health at Work,United Nations observance, 
Apr 29,Monday,Orthodox Easter Monday,Orthodox, 
Apr 29,Monday,Day of Remembrance for all Victims of Chemical Warfare,United Nations observance, 
Apr 29,Monday,Confederate Memorial Day,State holiday,Mississippi
Apr 30,Tuesday,International Jazz Day,United Nations observance, 

May 1,Wednesday,Yom HaShoah,Jewish commemoration, 
May 1,Wednesday,Law Day,Observance, 
May 1,Wednesday,Loyalty Day,Observance, 
May 1,Wednesday,Lei Day,Local observance,Hawaii
May 2,Thursday,World Tuna Day,United Nations observance, 
May 2,Thursday,National Day of Prayer,Observance, 
May 3,Friday,World Press Freedom Day,United Nations observance, 
May 3,Friday,Kentucky Oaks,Sporting event, 
May 4,Saturday,Kent State Shootings Remembrance,Local observance,Ohio
May 4,Saturday,Kentucky Derby,Sporting event, 
May 4,Saturday,Rhode Island Independence Day,Local observance,Rhode Island
May 4,Saturday,National Explosive Ordnance Disposal (EOD) Day,Observance, 
May 5,Sunday,Cinco de Mayo,Observance, 
May 6,Monday,Ramadan Starts,Muslim, 
May 6,Monday,National Nurses Day,Observance, 
May 8,Wednesday,Time of Remembrance and Reconciliation for Those Who Lost Their Lives during the Second World War,United Nations observance, 
May 8,Wednesday,World Ovarian Cancer Day,Worldwide observance, 
May 8,Wednesday,Truman Day,State holiday,Missouri
May 9,Thursday,Yom Ha'atzmaut,Jewish holiday, 
May 10,Friday,Confederate Memorial Day,State holiday,South Carolina
May 10,Friday,Confederate Memorial Day,Local observance,North Carolina
May 10,Friday,Military Spouse Appreciation Day,Observance, 
May 11,Saturday,World Migratory Bird Day,United Nations observance, 
May 12,Sunday,International Nurses Day,Worldwide observance, 
May 12,Sunday,Mother's Day,Observance, 
May 15,Wednesday,International Day of Families,United Nations observance, 
May 15,Wednesday,Peace Officers Memorial Day,Observance, 
May 17,Friday,World Information Society Day,United Nations observance, 
May 17,Friday,National Defense Transportation Day,Observance, 
May 18,Saturday,Armed Forces Day,Observance, 
May 18,Saturday,Preakness Stakes,Sporting event, 
May 19,Sunday,Day of Vesak,United Nations observance, 
May 20,Monday,World Autoimmune / Autoinflammatory Arthritis Day,Worldwide observance, 
May 21,Tuesday,World Day for Cultural Diversity for Dialogue and Development,United Nations observance, 
May 22,Wednesday,International Day for Biological Diversity,United Nations observance, 
May 22,Wednesday,Emergency Medical Services for Children Day,Observance, 
May 22,Wednesday,National Maritime Day,Observance, 
May 22,Wednesday,Harvey Milk Day,Local observance,California
May 23,Thursday,Lag BaOmer,Jewish holiday, 
May 23,Thursday,International Day to End Obstetric Fistula,United Nations observance, 
May 25,Saturday,African Liberation Day,Worldwide observance, 
May 25,Saturday,National Missing Children's Day,Observance, 
May 27,Monday,Memorial Day,Federal Holiday, 
May 27,Monday,Jefferson Davis' Birthday,Local observance,Mississippi
May 29,Wednesday,International Day of United Nations Peacekeepers,United Nations observance, 
May 30,Thursday,Ascension Day,Christian, 
May 31,Friday,World No Tobacco Day,United Nations observance, 

Jun 1,Saturday,Lailat al-Qadr,Muslim, 
Jun 1,Saturday,Global Day of Parents,United Nations observance, 
Jun 1,Saturday,Statehood Day,Local observance,"Kentucky, Tennessee"
Jun 3,Monday,Jefferson Davis' Birthday,State holiday,Alabama
Jun 3,Monday,Jefferson Davis' Birthday,Local observance,Florida
Jun 4,Tuesday,Eid al-Fitr,Muslim, 
Jun 4,Tuesday,International Day of Innocent Children Victims of Aggression,United Nations observance, 
Jun 5,Wednesday,World Environment Day,United Nations observance, 
Jun 6,Thursday,D-Day,Observance, 
Jun 8,Saturday,World Oceans Day,United Nations observance, 
Jun 8,Saturday,Belmont Stakes,Sporting event, 
Jun 9,Sunday,Pentecost,Christian, 
Jun 9,Sunday,Shavuot,Jewish holiday, 
Jun 10,Monday,Whit Monday,Christian, 
Jun 11,Tuesday,Kamehameha Day,State holiday,Hawaii
Jun 12,Wednesday,World Day Against Child Labour,United Nations observance, 
Jun 13,Thursday,International Albinism Awareness Day,United Nations observance, 
Jun 14,Friday,World Blood Donor Day,United Nations observance, 
Jun 14,Friday,Army Birthday,Observance, 
Jun 14,Friday,Flag Day,Observance, 
Jun 15,Saturday,World Elder Abuse Awareness Day,United Nations observance, 
Jun 16,Sunday,Trinity Sunday,Christian, 
Jun 16,Sunday,International Day of Family Remittances,United Nations observance, 
Jun 16,Sunday,Father's Day,Observance, 
Jun 16,Sunday,Bunker Hill Day,Local observance,Massachusetts
Jun 17,Monday,World Day to Combat Desertification and Drought,United Nations observance, 
Jun 19,Wednesday,International Day for the Elimination of Sexual Violence in Conflict,United Nations observance, 
Jun 19,Wednesday,Emancipation Day,State holiday,Texas
Jun 19,Wednesday,Juneteenth,Local observance,"All except HI, MT, ND, SD, TX"
Jun 20,Thursday,World Refugee Day,United Nations observance, 
Jun 20,Thursday,West Virginia Day,State holiday,West Virginia
Jun 20,Thursday,American Eagle Day,Observance, 
Jun 21,Friday,June Solstice,Season, 
Jun 21,Friday,International Day of Yoga,United Nations observance, 
Jun 23,Sunday,Corpus Christi,Christian, 
Jun 23,Sunday,Public Service Day,United Nations observance, 
Jun 23,Sunday,International Widows' Day,United Nations observance, 
Jun 25,Tuesday,Day of the Seafarer,United Nations observance, 
Jun 26,Wednesday,International Day Against Drug Abuse and Illicit Trafficking,United Nations observance, 
Jun 26,Wednesday,International Day in Support of Victims of Torture,United Nations observance, 
Jun 30,Sunday,International Asteroid Day,United Nations observance, 

Jul 4,Thursday,Independence Day,Federal Holiday, 
Jul 5,Friday,Independence Day Holiday,State Government Holiday,"Maryland, West Virginia"
Jul 6,Saturday,International Day of Cooperatives,United Nations observance, 
Jul 11,Thursday,World Population Day,United Nations observance, 
Jul 14,Sunday,Bastille Day,Observance, 
Jul 15,Monday,World Youth Skills Day,United Nations observance, 
Jul 18,Thursday,Nelson Mandela Day,United Nations observance, 
Jul 24,Wednesday,Pioneer Day,State holiday,Utah
Jul 27,Saturday,National Korean War Veterans Armistice Day,Observance, 
Jul 28,Sunday,World Hepatitis Day,United Nations observance, 
Jul 28,Sunday,Parents' Day,Observance, 
Jul 30,Tuesday,International Day of Friendship,United Nations observance, 
Jul 30,Tuesday,World Day against Trafficking in Persons,United Nations observance, 

Aug 1,Thursday,Colorado Day,Local observance,Colorado
Aug 4,Sunday,Coast Guard Birthday,Observance, 
Aug 7,Wednesday,Purple Heart Day,Observance, 
Aug 9,Friday,International Day of the World's Indigenous People,United Nations observance, 
Aug 11,Sunday,Tisha B'Av,Jewish holiday, 
Aug 11,Sunday,Eid al-Adha,Muslim, 
Aug 12,Monday,International Youth Day,United Nations observance, 
Aug 12,Monday,Victory Day,State holiday,Rhode Island
Aug 14,Wednesday,Raksha Bandhan,Hindu Holiday, 
Aug 15,Thursday,Assumption of Mary,Christian, 
Aug 16,Friday,Hawaii Statehood Day,State holiday,Hawaii
Aug 16,Friday,Bennington Battle Day,State holiday,Vermont
Aug 19,Monday,World Humanitarian Day,United Nations observance, 
Aug 19,Monday,National Aviation Day,Observance, 
Aug 21,Wednesday,Senior Citizens Day,Observance, 
Aug 23,Friday,Janmashtami,Hindu Holiday, 
Aug 23,Friday,International Day for the Remembrance of the Slave Trade and its Abolition,United Nations observance, 
Aug 26,Monday,Women's Equality Day,Observance, 
Aug 27,Tuesday,Lyndon Baines Johnson Day,State holiday,Texas
Aug 29,Thursday,International Day against Nuclear Tests,United Nations observance, 
Aug 30,Friday,International Day of the Victims of Enforced Disappearances,United Nations observance, 
Aug 31,Saturday,Muharram,Muslim, 
Aug 31,Saturday,International Overdose Awareness Day,Worldwide observance, 

Sep 2,Monday,Ganesh Chaturthi,Hindu Holiday, 
Sep 2,Monday,Labor Day,Federal Holiday, 
Sep 4,Wednesday,World Sexual Health Day,Worldwide observance, 
Sep 5,Thursday,International Day of Charity,United Nations observance, 
Sep 7,Saturday,Carl Garner Federal Lands Cleanup Day,Observance, 
Sep 8,Sunday,International Literacy Day,United Nations observance, 
Sep 8,Sunday,National Grandparents Day,Observance, 
Sep 9,Monday,California Admission Day,Local observance,California
Sep 10,Tuesday,World Suicide Prevention Day,United Nations observance, 
Sep 11,Wednesday,Patriot Day,Observance, 
Sep 12,Thursday,International Day for South-South Cooperation,United Nations observance, 
Sep 13,Friday,International Programmers' Day,Worldwide observance, 
Sep 13,Friday,Friday the 13th,Worldwide observance, 
Sep 15,Sunday,International Day of Democracy,United Nations observance, 
Sep 16,Monday,International Day for the Preservation of the Ozone Layer,United Nations observance, 
Sep 17,Tuesday,Constitution Day and Citizenship Day,Observance, 
Sep 18,Wednesday,Air Force Birthday,Observance, 
Sep 20,Friday,National POW/MIA Recognition Day,Observance, 
Sep 21,Saturday,International Day of Peace,United Nations observance, 
Sep 21,Saturday,National CleanUp Day,Observance, 
Sep 22,Sunday,Emancipation Day,Local observance,Ohio
Sep 23,Monday,September Equinox,Season, 
Sep 23,Monday,International Celebrate Bisexuality Day,Worldwide observance, 
Sep 26,Thursday,World Maritime Day,United Nations observance, 
Sep 26,Thursday,International Day for the Total Elimination of Nuclear Weapons,United Nations observance, 
Sep 27,Friday,World Tourism Day,United Nations observance, 
Sep 27,Friday,Native American Day,Local observance,California
Sep 28,Saturday,World Rabies Day,United Nations observance, 
Sep 29,Sunday,Navratri,Hindu Holiday, 
Sep 29,Sunday,World Heart Day,Worldwide observance, 
Sep 29,Sunday,Gold Star Mother's Day,Observance, 
Sep 30,Monday,Rosh Hashana,Jewish holiday, 
Sep 30,Monday,Rosh Hashana,State holiday,Texas***

Oct 1,Tuesday,International Day of Older Persons,United Nations observance, 
Oct 1,Tuesday,World Vegetarian Day,Worldwide observance, 
Oct 2,Wednesday,International Day of Non-Violence,United Nations observance, 
Oct 2,Wednesday,World Cerebral Palsy Day,Worldwide observance, 
Oct 4,Friday,Feast of St Francis of Assisi,Christian, 
Oct 5,Saturday,World Teachers' Day,United Nations observance, 
Oct 7,Monday,Dussehra,Hindu Holiday, 
Oct 7,Monday,World Habitat Day,United Nations observance, 
Oct 7,Monday,Child Health Day,Observance, 
Oct 9,Wednesday,World Post Day,United Nations observance, 
Oct 9,Wednesday,International Day for Natural Disaster Reduction,United Nations observance, 
Oct 9,Wednesday,Leif Erikson Day,Observance, 
Oct 9,Wednesday,Yom Kippur,State holiday,Texas***
Oct 9,Wednesday,Yom Kippur,Jewish holiday, 
Oct 10,Thursday,World Mental Health Day,United Nations observance, 
Oct 10,Thursday,World Sight Day,Worldwide observance, 
Oct 11,Friday,International Day of the Girl Child,United Nations observance, 
Oct 13,Sunday,Navy Birthday,Observance, 
Oct 13,Sunday,Chicago Marathon,Sporting event, 
Oct 14,Monday,First Day of Sukkot,Jewish holiday, 
Oct 14,Monday,Columbus Day,Local observance,Florida
Oct 14,Monday,Columbus Day,Federal Holiday,"All except AK, AR, CA, DE, FL, HI, MI, MN, ND, NM, NV, OR, SD, TX, VT, WA, WY"
Oct 14,Monday,Native Americans' Day,Local observance,South Dakota
Oct 14,Monday,Indigenous People's Day,Local observance,"AK, CA**, MN**, NM, VT, WA**"
Oct 15,Tuesday,International Day of Rural Women,United Nations observance, 
Oct 15,Tuesday,White Cane Safety Day,Observance, 
Oct 16,Wednesday,World Food Day,United Nations observance, 
Oct 16,Wednesday,Boss's Day,Observance, 
Oct 17,Thursday,International Day for the Eradication of Poverty,United Nations observance, 
Oct 18,Friday,Alaska Day,State holiday,Alaska
Oct 19,Saturday,Sweetest Day,Observance,13 states
Oct 20,Sunday,Last Day of Sukkot,Jewish holiday, 
Oct 21,Monday,Shmini Atzeret,Jewish holiday, 
Oct 22,Tuesday,Simchat Torah,Jewish holiday, 
Oct 24,Thursday,United Nations Day,United Nations observance, 
Oct 24,Thursday,World Development Information Day,United Nations observance, 
Oct 25,Friday,Nevada Day,State holiday,Nevada
Oct 27,Sunday,World Day for Audiovisual Heritage,United Nations observance, 
Oct 27,Sunday,Diwali/Deepavali,"Observance, Hinduism", 
Oct 29,Tuesday,World Stroke Day,Worldwide observance, 
Oct 31,Thursday,World Cities Day,United Nations observance, 
Oct 31,Thursday,Halloween,Observance, 

Nov 1,Friday,All Saints' Day,Christian, 
Nov 1,Friday,World Vegan Day,Worldwide observance, 
Nov 2,Saturday,All Souls' Day,Christian, 
Nov 2,Saturday,International Day to End Impunity for Crimes against Journalists,United Nations observance, 
Nov 3,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time, 
Nov 3,Sunday,New York City Marathon,Sporting event, 
Nov 6,Wednesday,International Day for Preventing the Exploitation of the Environment in War and Armed Conflict,United Nations observance, 
Nov 9,Saturday,The Prophet's Birthday,Muslim, 
Nov 10,Sunday,World Science Day for Peace and Development,United Nations observance, 
Nov 10,Sunday,Marine Corps Birthday,Observance, 
Nov 11,Monday,Veterans Day,Federal Holiday, 
Nov 12,Tuesday,World Pneumonia Day,Worldwide observance, 
Nov 14,Thursday,World Diabetes Day,United Nations observance, 
Nov 16,Saturday,International Day for Tolerance,United Nations observance, 
Nov 17,Sunday,World Day of Remembrance for Road Traffic Victims,United Nations observance, 
Nov 17,Sunday,World Prematurity Day,Worldwide observance, 
Nov 19,Tuesday,World Toilet Day,United Nations observance, 
Nov 19,Tuesday,International Men's Day,Worldwide observance, 
Nov 20,Wednesday,Universal Children's Day,United Nations observance, 
Nov 20,Wednesday,Africa Industrialization Day,United Nations observance, 
Nov 21,Thursday,World Television Day,United Nations observance, 
Nov 21,Thursday,World Philosophy Day,United Nations observance, 
Nov 25,Monday,International Day for the Elimination of Violence against Women,United Nations observance, 
Nov 28,Thursday,Thanksgiving Day,Federal Holiday, 
Nov 29,Friday,International Day of Solidarity with the Palestinian People,United Nations observance, 
Nov 29,Friday,State Holiday,State holiday,Georgia
Nov 29,Friday,Presidents' Day,State holiday,New Mexico
Nov 29,Friday,Lincoln's Birthday/Lincoln's Day,State holiday,Indiana
Nov 29,Friday,Day After Thanksgiving,State holiday,20 states
Nov 29,Friday,Family Day,State holiday,Nevada
Nov 29,Friday,Acadian Day,State holiday,Louisiana
Nov 29,Friday,Black Friday,Observance, 
Nov 29,Friday,American Indian Heritage Day,State holiday,Maryland

Dec 1,Sunday,First Sunday of Advent,Christian, 
Dec 1,Sunday,World AIDS Day,United Nations observance, 
Dec 1,Sunday,Rosa Parks Day,Local observance,"Ohio, Oregon"
Dec 2,Monday,International Day for the Abolition of Slavery,United Nations observance, 
Dec 2,Monday,Cyber Monday,Observance, 
Dec 3,Tuesday,International Day of Persons with Disabilities,United Nations observance, 
Dec 5,Thursday,International Volunteer Day for Economic and Social Development,United Nations observance, 
Dec 5,Thursday,World Soil Day,United Nations observance, 
Dec 6,Friday,St Nicholas Day,Observance, 
Dec 7,Saturday,International Civil Aviation Day,United Nations observance, 
Dec 7,Saturday,Pearl Harbor Remembrance Day,Observance, 
Dec 8,Sunday,Feast of the Immaculate Conception,Christian, 
Dec 9,Monday,International Anti-Corruption Day,United Nations observance, 
Dec 9,Monday,World Genocide Commemoration Day,United Nations observance, 
Dec 10,Tuesday,Human Rights Day,United Nations observance, 
Dec 11,Wednesday,International Mountain Day,United Nations observance, 
Dec 12,Thursday,Feast of Our Lady of Guadalupe,Christian, 
Dec 13,Friday,Friday the 13th,Worldwide observance, 
Dec 13,Friday,National Guard Birthday,Observance, 
Dec 15,Sunday,Bill of Rights Day,Observance, 
Dec 17,Tuesday,Pan American Aviation Day,Observance, 
Dec 17,Tuesday,Wright Brothers Day,Observance, 
Dec 18,Wednesday,International Migrants Day,United Nations observance, 
Dec 18,Wednesday,Arabic Language Day,United Nations observance, 
Dec 20,Friday,International Human Solidarity Day,United Nations observance, 
Dec 21,Saturday,December Solstice,Season, 
Dec 23,Monday,Chanukah/Hanukkah (first day),Jewish holiday, 
Dec 24,Tuesday,Christmas Eve,State holiday,"KS**, KY, MI, NC, ND, OK, SC, TX, VA**, WI"
Dec 24,Tuesday,Christmas Eve,"Observance, Christian", 
Dec 24,Tuesday,Washington's Birthday,State holiday,"Georgia, Indiana"
Dec 25,Wednesday,Christmas Day,Federal Holiday, 
Dec 26,Thursday,Kwanzaa (first day),Observance, 
Dec 26,Thursday,Day After Christmas Day,State holiday,"KS, NC, SC, TX"
Dec 30,Monday,Last Day of Chanukah,Jewish holiday, 
Dec 31,Tuesday,New Year's Eve,Observance, 
Dec 31,Tuesday,New Year's Eve,State holiday,"LA, MI, WI"
* Observed only in some communities of this state. ** Observed only in part of this state. *** Optional holiday in this state.Hover your mouse over the region or click on the holiday for details.
